,Factor0,Factor1,individual importance,individual lower quartile,individual median,individual std,individual upper quartile,individual whiskerhi,individual whiskerlo,total importance,total lower quartile,total median,total std,total upper quartile,total whiskerhi,total whiskerlo
10,0,10.0,0.00021040278911571033,1.6401655662596093e-05,0.00012807675642842795,0.0003005674120083751,0.000218069690824969,0.00042232705170359357,2.301572428236232e-06,0.03622704696648556,0.010588916213363936,0.02489287572855302,0.04017362119999861,0.03469795928698866,0.03396297418980417,1.635305203025124e-05
11,0,11.0,0.0016422275896388733,0.00010850482759139029,0.0007115264468921377,0.002493022752809332,0.0021780187878003773,0.0022807063979803036,5.582562992045806e-07,0.057523337821748746,0.024272212493285258,0.03177182870553279,0.051402935565003076,0.08819803521777908,0.09180295062030391,0.011807624953598658
12,0,12.0,0.0024982756720603825,0.00010390121295491613,0.00036952148795918645,0.005774033661156359,0.000844203778801337,0.001255548508493292,8.758774345351046e-07,0.04417279890777426,0.014526280559731394,0.03307055706745002,0.04035857579559921,0.05700170450847526,0.04773889961595081,1.968075430069005e-05
13,1,,0.011433607914948345,0.00420347240735217,0.008934620265157572,0.011513339839601237,0.017561450759226067,0.01935989723516067,0.0003588318197440798,0.011433607914948345,0.00420347240735217,0.008934620265157572,0.011513339839601237,0.017561450759226067,0.01935989723516067,0.0003588318197440798
14,1,2.0,0.004162851447342495,0.0018744929625929066,0.00283608685573154,0.0038966430379156233,0.0035622920929617714,0.0036853045881256956,0.0007951453276662299,0.03338130345912644,0.009429231166097056,0.02273882525632722,0.03975496710922688,0.034038340807887354,0.036791448062955937,0.0047246849222111935
15,1,3.0,0.007886871371322712,0.005416029208665296,0.007365616168377864,0.004781592190501602,0.00878387873305994,0.009395644481574893,0.0005542317430418997,0.04813422632127168,0.022390266287732885,0.03615530608686676,0.03650092819008464,0.0659624944291426,0.0706419407509684,0.005492794506871803
16,1,4.0,0.007861543981865381,0.0008394169290412746,0.0009714719851296193,0.01948877690889162,0.0012299814595235093,0.0013676563169766351,0.0002684277678061647,0.02599994985609389,0.013793910235927976,0.01934764841926069,0.021597453685360157,0.031530317603667646,0.02476136059442877,0.0011784152074864837
17,1,5.0,0.00589220044365048,0.0009385734384304205,0.002060397459034576,0.012237027851712176,0.0035240326420173393,0.004669910375864485,0.0005181221385867364,0.03219446033891111,0.014487340386298515,0.020658757857320794,0.031243235485885274,0.035527292944651546,0.03369651529856678,0.00246978418170555
18,1,6.0,0.013736942337850121,0.0027203530245288824,0.010113543681451051,0.016010862465288954,0.01447917322829231,0.031966197225695804,0.0009412358192063525,0.040914477936971505,0.026399982649348383,0.033226349376208816,0.03094774896210468,0.04767223455065924,0.04357323645873243,0.004298225383511953
19,1,7.0,0.004388117054134749,0.0006257621156376433,0.0027847404237627887,0.004189545295395308,0.007482095695000974,0.011762979744690953,0.00014829265057824718,0.02488938767174075,0.011576460608753171,0.019578032910159505,0.02304871492688272,0.028716791250766503,0.032491187384981406,0.00486438883451532
20,1,8.0,0.005607112846208575,0.0039967586244794755,0.004947672201353816,0.004315820909903454,0.006154797395113362,0.007636229295346282,0.0009626771638518509,0.022480139621840846,0.014784344396630919,0.019852318260076114,0.015895002198179825,0.028431167463614578,0.022422565387286424,0.002435215504963081
21,1,9.0,0.003168649719850927,0.0005620153324727938,0.0014206988138537342,0.004672049188125142,0.004018940572182252,0.005737688737139262,0.00015509212632917302,0.017445307331254385,0.006093931010363096,0.013443844000529028,0.01730480087068217,0.023005980004782343,0.026199640326495754,0.0015415687880059796
22,1,10.0,0.0010847419167441114,1.3878965680769704e-05,0.0001518199414878461,0.002520676743492005,0.0003986292544986341,0.0005082210595123919,2.6213157482168276e-08,0.013787752858315822,0.006521896190086564,0.011313855331650777,0.011686253053487698,0.018624067255498748,0.018377560153173846,0.00044784123160150304
23,1,11.0,0.002138567611174783,0.00011456467357242683,0.0002817086783128078,0.00406734574027188,0.001785531626358877,0.003463915571271596,3.090864382867457e-07,0.03470604460748652,0.013626937931490026,0.01850006792930283,0.04983158005434423,0.023851246982744018,0.016334570802986295,0.0016102801404523355
24,1,12.0,0.002439225554827209,0.0001703951538291095,0.0005857665369714514,0.005242415669863576,0.0012265109433771014,0.0019254206195381146,1.6606988733933413e-08,0.02080011555474295,0.007225237891863275,0.014748677839294377,0.02141222469916256,0.02251899629376826,0.020062150588435655,0.0005231327894982276
25,2,,0.017784844096835603,0.0026209753861276375,0.0037924674406632376,0.038252460922815555,0.008106287995258928,0.013910262899888141,0.0007790507049173352,0.017784844096835603,0.0026209753861276375,0.0037924674406632376,0.038252460922815555,0.008106287995258928,0.013910262899888141,0.0007790507049173352
26,2,3.0,0.015982242726655722,0.0054111054215812745,0.010967038595783213,0.015650049915854485,0.025278166709276906,0.054312137485298125,0.0004582040079924967,0.06258083385849195,0.02941129113415232,0.04621021385268494,0.05476032571922016,0.07451595453718919,0.08829983221237578,0.0019055887983109576
27,2,4.0,0.0019137073043278565,0.0003978758356343884,0.0009957779373089338,0.0018827043277920622,0.0032871703737967157,0.0064345022010702585,0.0001304198011997388,0.026403349360443626,0.00748742884176952,0.012150607048667671,0.03750485804376495,0.028457385355438677,0.030503933848521916,0.003452373188888825
28,2,5.0,0.004722157568291225,0.0008828735691901344,0.002070197810571584,0.006404517915419634,0.006733512806592074,0.008791512027365998,0.00035714393743949564,0.037375653645439114,0.010652317189609725,0.017742923549140623,0.04460819000101362,0.03654986437316566,0.032240729549738695,0.006035636312157359
29,2,6.0,0.011263314249411235,0.0021335531062554526,0.003572212150778308,0.02055774440717428,0.011363063010906761,0.018980030219940203,0.0003178096051594617,0.044792086030419884,0.007476861486178839,0.018546318521250868,0.05828133103565639,0.04135916330281274,0.045242036581705586,0.004221750814807137
30,2,7.0,0.0036653602059392074,0.0003371743361038667,0.0008548070432173635,0.007701380822832228,0.0020641605982570704,0.0023965746398650093,0.00016333767061993453,0.030517867005432468,0.007000224998697213,0.009713397384062003,0.06374814369003741,0.021532933382532843,0.023548381165425333,0.003935859118524979
31,2,8.0,0.0011376677648817014,0.00021396987393477307,0.0005050702094781932,0.0012128675193945788,0.0017754579182127131,0.003691993804048115,0.00010235831741221199,0.02436193072240123,0.009223508414563653,0.011002983316414021,0.03727681195641803,0.018127120778786157,0.011600413845246706,0.003765684571344408
32,2,9.0,0.0011496739365600432,0.00018750803788337823,0.0004027862311079461,0.0017356421149205604,0.001089290286044622,0.0018187401791898304,4.813007898719396e-05,0.02177756772985076,0.004781329120064851,0.006197965036029925,0.039214868908703536,0.019280350646266216,0.020509970293534917,0.0017418607482063417
33,2,10.0,0.00014360649095002416,4.300364773066339e-07,5.19782799237258e-05,0.00017705916057130346,0.00023422104062096325,0.0005001842271361676,5.6698075837535685e-09,0.01919785361440899,0.0032953668716624047,0.005147957784523987,0.03782724736603026,0.01215675913561389,0.011571909824046201,0.0016452184149819138
34,2,11.0,0.002035427478406297,1.2262154486008228e-05,0.00016069432246830094,0.004233213744638276,0.0011690199144837137,0.0026361310655755796,2.9826014609806336e-07,0.040954140656605284,0.004147646479370687,0.016720396158536432,0.06051391400890217,0.035029605433059205,0.026852691243580838,0.0027694007245283674
35,2,12.0,0.00037315905121043007,2.8890978792778552e-06,1.9811637064082576e-05,0.0008762358059241078,0.00013084116335595938,0.00017603851323775627,2.5438992200423638e-09,0.025085285233013427,0.0033929801854385884,0.0069263618526815875,0.04189193580018623,0.0227459463034144,0.01987617267533064,0.001003589975008843
36,3,,0.028813747035000625,0.0033412760210896793,0.01164851008988304,0.031882726498499235,0.03992458414653756,0.05662086302079932,0.0006683340854011257,0.028813747035000625,0.0033412760210896793,0.01164851008988304,0.031882726498499235,0.03992458414653756,0.05662086302079932,0.0006683340854011257
37,3,4.0,0.00874618959102301,0.0015161111553952972,0.0028889529482769806,0.018820341491938376,0.006192561508805412,0.006932778696727644,0.0005763314493809622,0.044264734585303805,0.013339674216552055,0.022193502466288637,0.04135647256974349,0.06385330123541932,0.07663729157757793,0.0033972306358965075
38,3,5.0,0.014491173282980621,0.0027885134077506226,0.0043740276596282695,0.027769721105684434,0.014673541966599413,0.019150716984376606,0.00024550276255802907,0.058173572298293535,0.01270077200686303,0.03904680678474253,0.06754368084815683,0.0742665516533072,0.07984140154202879,0.005317317436654918
39,3,6.0,0.014083068751569793,0.005706660460257135,0.00980133052894763,0.013757216580161517,0.015822540117484494,0.024250554446765497,0.0010393808339312985,0.05864074347074347,0.022870573773676107,0.043469718782643454,0.044679350369754366,0.08173961409843601,0.09060194606405726,0.007633064258613062
40,3,7.0,0.008130985291885167,0.000869312634665151,0.0014829140266937274,0.017790170354161083,0.0024805380842424143,0.004074850752986386,0.00036326456871022607,0.04601239502954345,0.006710036323714474,0.030774664689109908,0.048692562461753415,0.06304970728193413,0.05138020979461916,0.004119884469892775
41,3,8.0,0.004839469810393937,0.00169290639405732,0.002959888000061287,0.00430846808862238,0.005730451049982236,0.010597245805137663,0.00010627539397445664,0.03909263570607849,0.012445650178115145,0.026472878145987526,0.03310009747940129,0.05264181610767442,0.053968620720458015,0.00835677961321686
