,Unnamed: 0,Factor,fraction_individual,fraction_total
56,56,$F_{Dist}$,0.022441589849115203,0.022441589849115203
57,57,$F_{Dist}$,0.07178094140455242,0.07178094140455242
58,58,$F_{Dist}$,0.11112174409896304,0.11112174409896304
59,59,$F_{Dist}$,0.005778742977966179,0.005778742977966179
60,60,$F_{Dist}$,0.003838986014501279,0.003838986014501279
61,61,$F_{Dist}$,0.005372480061758693,0.005372480061758693
62,62,$F_{Dist}$,0.0041292876591414035,0.0041292876591414035
63,63,$F_{Dist}$,0.0239915259237496,0.0239915259237496
64,64,$F_{Dist}$,0.05607212311240637,0.05607212311240637
65,65,$F_{Dist}$,0.006231383630193458,0.006231383630193458
66,66,$F_{Dist}$,0.08687515029004299,0.08687515029004299
67,67,$F_{Dist}$,0.06567283994522971,0.06567283994522971
68,68,$F_{Dist}$,0.0731193264850458,0.0731193264850458
69,69,$F_{Dist}$,0.01204780860504031,0.01204780860504031
70,70,$F_{Dist}$,0.006910458907512639,0.006910458907512639
71,71,$F_{Dist}$,0.01784260164722306,0.01784260164722306
72,72,$F_{Dist}$,0.002180837551090611,0.002180837551090611
73,73,$F_{Dist}$,0.021378827226341032,0.021378827226341032
74,74,$F_{Dist}$,0.014003137276715193,0.014003137276715193
75,75,$F_{Dist}$,0.02435291434706509,0.02435291434706509
76,76,$F_{Dist}$,0.04287656920159935,0.04287656920159935
77,77,$F_{Dist}$,0.01788141862975261,0.01788141862975261
78,78,$F_{Dist}$,0.03752888189953668,0.03752888189953668
79,79,$F_{Dist}$,0.022713656664839568,0.022713656664839568
80,80,$F_{Dist}$,0.09620376172541513,0.09620376172541513
81,81,$F_{Dist}$,0.06758443885976424,0.06758443885976424
82,82,$F_{Dist}$,0.0091030190546502,0.0091030190546502
83,83,$F_{Dist}$,0.04731762144673896,0.04731762144673896
84,84,$F_{Dist}$,0.0040143371478333955,0.0040143371478333955
85,85,$F_{Dist}$,0.035465910393945324,0.035465910393945324
86,86,$F_{Dist}$,0.05100089649511698,0.05100089649511698
87,87,$F_{Dist}$,0.009189292125472556,0.009189292125472556
88,88,$F_{Dist}$,0.003801322504022604,0.003801322504022604
89,89,$F_{Dist}$,0.02075235116475219,0.02075235116475219
90,90,$F_{Dist}$,0.03870167862220559,0.03870167862220559
91,91,$F_{Dist}$,0.02534592079942786,0.02534592079942786
